Location ,Date,Irr/Storm ,Station,Rep ,ID,op,no3,nh4,tkn,tp,selenium,E COLI,fecal,tss,Flow ,Notes
Yampa Valley,6/14/2021,Grab 1,SCI,1,SB-SCI-01-GB,ND,ND,ND,1.5,0.17,ND,na,na,80,na,
Yampa Valley,6/14/2021,Grab 1,SCI,2,SB-SCI-01-GB-D,ND,ND,ND,1.1,0.19,ND,na,na,103.3333333,na,
Yampa Valley,6/14/2021,Grab 1,SCA,1,SB-SCA-01-GB,ND,ND,ND,U,0.077,ND,na,na,10,na,
Yampa Valley,6/14/2021,Grab 1,SCA,2,SB-SCA-01-GB-D,ND,ND,ND,U,0.066,ND,na,na,16.66666667,na,
Yampa Valley,6/14/2021,Grab 1,SCB,1,SB-SCB-01-GB ,ND,ND,ND,U,ND,ND,na,na,10,na,
Yampa Valley,6/14/2021,Grab 1,SCB,2,SB-SCB-01-GB-D,ND,ND,ND,U,0.061,ND,na,na,10,na,
Yampa Valley,6/14/2021,Grab 1,DS,1,SB-DS-01-GB,ND,ND,ND,U,ND,ND,na,na,10,na,
Yampa Valley,6/14/2021,Grab 1,DS,2,SB-DS-01-GB-D,ND,ND,ND,U,ND,ND,na,na,13.33333333,na,
Yampa Valley,7/28/2021,Grab 2,SCI,1,SB-SCI-02-GB,ND,ND,ND,0.93,0.084,ND,na,na,40,na,
Yampa Valley,7/28/2021,Grab 2,SCI,2,SB-SCI-02-GB-D,ND,ND,ND,1.9,0.092,ND,na,na,26.66666667,na,
Yampa Valley,7/28/2021,Grab 2,SCA,1,SB-SCA-02-GB,ND,ND,ND,U,0.079,ND,na,na,13.33333333,na,
Yampa Valley,7/28/2021,Grab 2,SCA,2,SB-SCA-02-GB-D,ND,ND,ND,U,0.066,ND,na,na,10,na,
Yampa Valley,7/28/2021,Grab 2,SCB,1,SB-SCB-02-GB,ND,ND,ND,U,0.079,ND,na,na,156.6666667,na,
Yampa Valley,7/28/2021,Grab 2,SCB,2,SB-SCB-02-GB-D,ND,ND,ND,U,0.071,ND,na,na,13.33333333,na,
Yampa Valley,7/28/2021,Grab 2,DS,1,SB-DS-02-GB,ND,ND,ND,U,0.071,ND,na,na,13.33333333,na,
Yampa Valley,7/28/2021,Grab 2,DS,2,SB-DS-02-GB-D,ND,ND,ND,U,0.074,ND,na,na,6.666666667,na,
Yampa Valley,7/28/2021,Grab 2,CM,1,SB-CM-02-GB,ND,ND,ND,U,0.079,ND,na,na,16.66666667,na,
Yampa Valley,7/28/2021,Grab 2,CM,2,SB-CM-02-GB-D,ND,ND,ND,U,0.053,ND,na,na,6.666666667,na,
