Year,Location ,Date,Irr/Storm,Station_original,Station,Rep ,ID,op,no3,nh4,tkn,tp,selenium,E COLI,fecal,tss,Flow ,notes
2018,Berthoud,7/11/2018,1,Inflow ,Inflow,1,,0,0,,0,0.44,,,,135,1313077.4,
2018,Berthoud,7/11/2018,1,Outflow,Outflow,1,,0,0,,0.62,0.38,,,,35.6,26226.8,
2018,Berthoud,8/9/2018,2,Inflow PT1,Inflow,1,,0,0.35,,0.82,0.41,,,,51.66666667,1658754.3,
2018,Berthoud,8/9/2018,2,Inflow PT1,Inflow,2,,0,0.36,,1.3,0.42,,,,53.33333333,1658754.3,
2018,Berthoud,8/9/2018,2,Inflow PT2,Inflow,1,,0,0.28,,1,0.29,,,,73.33333333,1658754.3,
2018,Berthoud,8/9/2018,2,Inflow PT2,Inflow,2,,0,0.3,,1.1,0.32,,,,60,1658754.3,
2018,Berthoud,8/9/2018,2,Outflow,Outflow,1,,0,0,,1.5,0.39,,,,61.66666667,23830,
2018,Berthoud,8/9/2018,2,Outflow,Outflow,2,,0,0,,1.7,0.38,,,,57.77777778,23830,
2018,Berthoud,9/3/2018,3,Inflow,Inflow,1,,0.54,1.7,,1.6,0.7,,500,1500,18.33333333,1174575.5,
2018,Berthoud,9/3/2018,3,Inflow,Inflow,2,,0.55,1.8,,1.5,0.3,,,,26.66666667,1174575.5,
2018,Berthoud,9/3/2018,3,Outflow,Outflow,1,,0,0.48,,0,0.13,,115,115,26.66666667,180090.4,
2018,Berthoud,9/3/2018,3,Outflow,Outflow,2,,0,0.44,,1.5,0.61,,,,36.66666667,180090.4,
2018,Berthoud,9/22/2018,4,Inflow,Inflow,1,,0,0,,0.47,0.059,,,,216.6666667,509125.2,
2018,Berthoud,9/22/2018,4,Inflow,Inflow,2,,0,0,,0.61,1,,,,220,509125.2,
2018,Berthoud,9/22/2018,4,Outflow,Outflow,1,,0,0,,0.82,0,,,,56.66666667,280066.4,
2018,Berthoud,9/22/2018,4,Outflow,Outflow,2,,0.51,0,,1.1,0.42,,,,55,280066.4,
2018,Berthoud,8/9/2019,2,Upstream,RVA,1,,0,0,,0.55,0,,60,60,51.66666667,,
2018,Berthoud,8/9/2020,2,Downstream,RVB,1,,0,0,,0,0,,55,58,94.44444444,,
2019,Berthoud,6/11/2019,1,Outflow,Outflow,1,BT-01-OT,nd,nd,,1.2,0.48,nd,14100,15300,16.66666667,186325.451,
2019,Berthoud,6/11/2019,1,Outflow,Outflow,2,BT-01-OT-D,nd,nd,,1.3,0.47,nd,10800,11400,36.66666667,186325.451,
2019,Berthoud,6/11/2019,1,Inflow,Inflow,1,BT-01-IN,nd,0.27,,nd,0.37,nd,640,750,136.6666667,5053102.169,
2019,Berthoud,6/11/2019,1,Inflow,Inflow,2,BT-01-IN-D,nd,0.28,,nd,0.39,nd,550,630,133.3333333,5053102.169,
2019,Berthoud,6/11/2019,1,PZW,PZW,1,BT-01-PZ-W,nd,4.9,,nd,nd,,0,0,,,
2019,Berthoud,6/11/2019,1,PZE,PZE,1,BT-01-PZ-E,nd,5.4,,1.4,0.57,,0,0,,,
2019,Berthoud,6/24/2019,S1,PZW,PZW,1,BT-S1-PZ-W,nd,4.2,,1.7,0.07,,,,,,
2019,Berthoud,6/24/2019,S1,PZE,PZE,1,BT-S1-PZ-E,nd,6.4,,1.9,0.11,,,,,,
2019,Berthoud,7/11/2019,2,Inflow,Inflow,1,BT-02-IN,nd,0.21,,1.4,0.19,0.011,500,600,103.3333333,6412919.862,
2019,Berthoud,7/11/2019,2,Inflow,Inflow,2,BT-02-IN-D,nd,0.21,,1.3,0.23,0.011,600,1000,113.3333333,6412919.862,
2019,Berthoud,7/11/2019,2,Outflow,Outflow,1,BT-02-OT,nd,nd,,1.9,0.3,0.0075,9100,9500,43.33333333,100498.8501,
2019,Berthoud,7/11/2019,2,Outflow,Outflow,2,BT-02-OT-D,nd,nd,,1.6,0.29,0.0078,7800,9000,38.33333333,100498.8501,
2019,Berthoud,7/11/2019,2,PZW,PZW,1,BT-02-PZ-W,nd,7.5,,1.1,0.13,0.038,<1,<1,,,
2019,Berthoud,7/11/2019,2,PZE,PZE,1,BT-02-PZ-E,nd,8,,2.4,0.23,0.043,<1,<1,,,
2019,Berthoud,7/17/2019,3,PZE,PZE,1,BT-03-PZ-E,nd,7.9,,1.6,0.086,0.037,<1,<1,156.7,,
2019,Berthoud,7/17/2019,3,PZW,PZW,1,BT-03-PZ-W,nd,5.5,,1.7,0.14,0.033,<1,<1,413.3,,
2019,Berthoud,7/17/2019,3,River,LOCATION UNKNOWN,1,BT-03-RV,nd,nd,,U,nd,0.0011,300,500,25,,
2019,Berthoud,6/3/2019,Preseason,PZE,PZE,1,PZ East,,,,,,,0,,,,
2019,Berthoud,6/3/2019,Preseason,PZW,PZW,1,PZ West,,,,,,,0,,,,
2019,Berthoud,6/3/2019,Preseason,River,LOCATION UNKNOWN,1,BT LT,,,,,,,640,,,,
2019,Berthoud,8/14/2019,S2,River,RVMID,1,BT-S2-RVA,,0.86,,,0.057,0.0084,0,0,96.66666667,,
2019,Berthoud,8/14/2019,S2,River,RVB,1,BT-S2-RVB,,0.87,,,0.08,0.0076,200,200,100,,
2019,Berthoud,8/14/2019,S2,PZE,PZE,1,BT-S2-PZ-E,,4,,,0.077,0.036,0,0,425,,
2019,Berthoud,8/14/2019,S2,PZW,PZW,1,BT-S2-PZ-W,,2.9,,,0.34,0.027,0,0,463.3333333,,
2019,Berthoud,8/14/2019,S2,Outflow,Outflow,1,BT-S2-OT,1.7,,,,1.9,,13500,15500,70,529.9574,
2019,Berthoud,8/14/2019,S2,Outflow,Outflow,2,BT-S2-OT-D,1.8,,,,2.1,,12500,15000,93.33333333,529.9574,
2020,Berthoud,6/23/2020,1,Inflow,Inflow,1,BT-01-IN,0,2.2,,1.4,0.42,0,,,140,,
2020,Berthoud,6/23/2020,1,Inflow,Inflow,2,BT-01-IN-D,0,2.2,,1.3,0.39,0,,,136.6666667,,
2020,Berthoud,6/23/2020,1,Outflow,Outflow,1,BT-01-OT,0,1.7,,1.5,0.84,0,,,36.66666667,,
2020,Berthoud,6/23/2020,1,Outflow,Outflow,2,BT-01-OT-D,0,1.8,,1.2,0.92,0,,,16.66666667,,
2020,Berthoud,6/23/2020,1,PZE,PZE,1,BT-01-PZ-E,0,3.8,,0,0.093,0.021,,,,,
2020,Berthoud,6/23/2020,1,PZW,PZW,1,BT-01-PZ-W,0,1.7,,0,0.16,0.01,,,,,
2020,Berthoud,6/23/2020,1,Upstream,RVMID,1,BT-01-RVA,0,0.86,,0.96,0.12,0.0054,,,76.66666667,,
2020,Berthoud,6/23/2020,1,Downstream,RVB,1,BT-01-RVB,0,0.86,,0.9,0.12,0.0056,,,90,,
2020,Berthoud,6/23/2020,1,Gated Pipe,Gated Pipe,1,BT-01-GP,0,0.36,,0,0.12,0,,,40,,
2020,Berthoud,7/14/2020,2,Inflow,Inflow,1,BT-02-IN,0,1,,1.1,0.4,0,,,,,
2020,Berthoud,7/14/2020,2,Inflow,Inflow,2,BT-02-IN-D,0,1,,1,0.25,0,,,,,
2020,Berthoud,7/14/2020,2,Outflow,Outflow,1,BT-02-OT,0,0,,1.2,0.6,0,,,10,,
2020,Berthoud,7/14/2020,2,Outflow,Outflow,2,BT-02-OT-D,0,0,,0.94,0.72,0,,,26.66666667,,
2020,Berthoud,8/25/2020,5,Inflow,Inflow,1,BT-05-IN,0,0.69,,1.2,0.27,0,,,160,,
2020,Berthoud,8/25/2020,5,Inflow,Inflow,2,BT-05-IN-D,0,0.69,,1.4,0.31,0,,,163.3333333,,
2020,Berthoud,8/25/2020,5,Outflow,Outflow,1,BT-05-OT,0,0,,0.91,0.24,0,,,46.66666667,,
2020,Berthoud,8/25/2020,5,Outflow,Outflow,2,BT-05-OT-D,0,0,,0.96,0.24,0,,,26.66666667,,
2020,Berthoud,8/25/2020,5,PZE,PZE,1,BT-05-PZE,0,2.5,,0,0.1,0.014,,,153.3333333,,
2020,Berthoud,8/25/2020,5,PZW,PZW,1,BT-05-PZW,0,1.1,,0,0.15,0.0072,,,226.6666667,,
2020,Berthoud,8/25/2020,5,RVA,RVMID,1,BT-05-RVA,0,0,,0,0,0,,,50,,
2020,Berthoud,8/25/2020,5,RVB,RVB,1,BT-05-RVB,0,0,,0,0,0,,,40,,
2020,Berthoud,8/25/2020,5,Gated Pipe,Gated Pipe,1,BT-05-GP,0,0,,0,0.077,0,,,26.66666667,,
